"BusinessUnit","UseCase","Headlines","Opportunity","Evidence","BusinessValue","AITheme","PrimaryContact","TargetPersonas","Phase","Status","VendorName","ModelName","InformationLink","Created","Created By","Priority","TeamName","SubTeamName","ID","Modified","Modified By","AI Product Checklist","ESE Resources Needed","RespondedBy"
"","People Fabric ODS verification tool","Tool allows domain teams that get their data to People Fabric (PF) using the Entity Ingestion Pipeline to verify data integrity","Saves teams from employing tedious and error prone manual verification.  The AI would be provided with the domain's Swagger documented SOR API and to the teams PF logical schema, and set of test tenants.  It would validate the data returned by the SOR API to the SOT data returned from the PF denodo API by comparing the set of primary keys available in both.","Teams do not have a standard way to validate data and are asking for one.","Improves data quality and reduces the time it take to make the data available.","Data Extraction","Christopher McDermott","Software Engineering & UI/UX","Idea","Not Started","Google","Vertex AI","","7/14/2025 4:09 PM","Christopher McDermott","","","","207","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Internal team work request triage ","Cloud Network request triage","To leverage AI to discern if a request is for Network team and create the appropriate request in JIRA or ServiceNow based on the environment and solution required, ask all the pertinent questions regarding the problem, scope and urgency. Inform the Network team of the new request and inform the user of the ticket created, giving instructions on how to follow up.","Too many teams are reaching out directly to the Network Engineers requesting for help, delaying the process of request processing.","Faster diagnosis and quicker time to resolution","Conversational AI","Ronald Lau","U Krewer","Idea","Not Started","TBD","TBD","https://engconf.int.kronos.com/spaces/WFDNET/pages/806970888/OneJira+Cloud+Infra+Network+Engineering","7/14/2025 3:58 PM","Ronald Lau","","","","206","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","EasyGenerator"," Easygenerator AI empowers users to create high-quality, engaging, and effective e-learning content with greater speed and efficiency. ","This AI software allows content developers to create full training courses from uploaded documents (PDF, Word, etc), within mins. These courses can take hours or days depending on the subject.","Easygenerator allowus to create full training courses within mins. Some of its features include, full course layout, automatically adding questions based on the content, AI generated Images and audio, adding interactive modules, and full LMS intergration with our Cornerstone LMS. LMS intergration allows for easy edits and updates to that content.","Huge time savings, content centralization, fast content generation, professional looking content and LMS intergration allows for easy edits and updates to that content.","Intelligent Document Processing","Jason Gomez","Software Engineering & UI/UX,Business Operations, Delivery & Enablement,Help Desk Support and Incident Response,Learning & Development,Communicators","Idea","Not Started","TBD","TBD","https://www.easygenerator.com","7/14/2025 2:41 PM","Jason Gomez","","","","205","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","ElevenLabs - AI Text to voice software","Create the most realistic speech with our AI audio tools in 1000s of voices and 70+ languages. Easy to use API's and SDK's.","This software has a wide audiance base with anyone that needs to create realistic audio from text. AI features can be used to generate Podcast style broadcasts, summerized and AI generate content from uploaded files, a vast array of choices for voice types and languages, language styles and exaggerations, and more.","This software saves tons of time for any content creator and adds a professional sound to the audio. This audio then assists with larger content projects like training course development and tutorial video creation.","Time savings, profession sounding audio, consistancy, better content creation","Audio/Video Generation","Jason Gomez","Software Engineering & UI/UX,Business Operations, Delivery & Enablement,Help Desk Support and Incident Response,Learning & Development,Communicators","Idea","Not Started","ElevenLabs","ElevenLabs AI (Voice synthesis)","https://elevenlabs.io/","7/14/2025 2:22 PM","Jason Gomez","","","","204","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Automated Candidate Assessment Score Extraction and Tracking","Streamline the engineering hiring process by auto-extracting HackerRank scores from outlook emails and updating candidate records in real-time on our excel spreadsheet ","As a Talent Acquisition Partner supporting the Engineering group at UKG, managing HackerRank assessments is a manual and repetitive task. Each candidate is first sent an assessment, followed by a personal email explaining the requirement. Once the assessment is completed, their scores—received via Outlook—must be manually reviewed and added to a master Excel tracker.

This process is time-consuming and prone to human error. The opportunity is to use AI-powered automation to:

Automatically detect and extract HackerRank scores from Outlook emails.

Parse the relevant candidate information and scores using natural language processing (NLP).

Populate an Excel or Google Sheet in real time with the extracted results.

Optionally, trigger a follow-up email or status update within your ATS based on pass/fail outcomes.

By automating this workflow, UKG can eliminate unnecessary administrative overhead, reduce errors, and improve the candidate experience by speeding up the hiring process.","We have tons of Engineering reqs - it is so time-consuming doing this. ","Efficiency: Saves recruiters time by eliminating manual score tracking and email tasks.

Speed: Accelerates the hiring process with real-time score updates.

Accuracy: Reduces human error in candidate records.

Scalability: Supports high-volume hiring without adding administrative overhead.

Candidate Experience: Provides faster feedback, improving candidate impressions.

Data Quality: Ensures consistent, audit-ready hiring data.

Brand Impact: Demonstrates innovation in TA processes, attracting top tech talent.

","Data Extraction","Jeanie Wheeler","Business Operations, Delivery & Enablement","Idea","Not Started","Microsoft","Power Automate (AI Builder)","","7/14/2025 1:27 PM","Jeanie Wheeler","","","","203","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Creating a Development Plan","A tool to help employees create tailored development plans to support their career goals at UKG","Our employees want development and sometimes don't know where to start. This idea would use resources available to UKrewers (global career framework, performance reviews, feedback from peers and manager, etc.) to help guide them through building an individual development plan. ","Individual development plans are a part of our UKG Talent Strategy and are discussed every year at performance review time. It also comes up consistently in our UKX and GPTW surveys that people crave development. Since an employee owns their own career development, helping them create a development plan with a lower bar to entry could result in happier and more successful employees. ","Employees who are working on development are more engaged, and are upskilling themselves to be more valuable to the company. ","Intelligent Document Processing","Meghann Arnold","U Krewer","Idea","Not Started","OpenAI","ChatGPT","","7/14/2025 1:14 PM","Meghann Arnold","","","","202","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","GSRA PRBot","Faster code reviews for standard deployments","AI designed to follow approval criteria in order to approve standard pull requests for our IAC egress changes.  ","GSRA has limited resources to review IAC changes - this agent is designed to review pull requests and determine if they meet the standard change requirements.  If so, it preapproves the change within 10 minutes or submission to speed up the process.","Faster egress interfaces, reduced wait time for development teams, enhanced emergency change coverage.","Intelligent Document Processing","Ryan Black","Software Engineering & UI/UX","Idea","Not Started","Google","Gemini, Vertex AI","","7/14/2025 11:20 AM","Ryan Black","","","","201","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Security Detective","Expanding reach, saving development time.","Expand the reach of our Global Security Research and Architecture team to provide preliminary reviews of EPICs and their underlying stories for security concerns.  This is the first iteration of a full security review suite that is being built in order to expedite our security review process and to provide teams with the ability to answer security questions earlier and make adjustments sooner in the development lifecycle.","GSRA has a limited number of architects per developer that are able to review changes to our product.  As such, we run the risk of missing changes with high security risk.  This additionally gives our teams security information sooner in order to adjust earlier.","Saves time on security reviews which leads to a faster deployment while also covering more security concerns than the old process.","Intelligent Document Processing","Ryan Black","Software Engineering & UI/UX","Idea","Not Started","Google","Gemini","","7/14/2025 11:11 AM","Ryan Black","","","","200","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","AI-Powered Natural Language Test Automation with Self-Healing Eecution and Auto-Reporting","UI Testing with AI-Driven, Zero-Code Automation and Instant Reporting","AI interprets human-like test steps and converts them into actionable UI interactions automatically, reducing the need for hardcode scripts.","AI based test automation reduce cost, time and skill dependency","AI powered UI test automation reduce QA costs and efforts by upto 70% while accelerating time-to-live through natural language-driven resilient testing. It empowers non-technical teams, boosts test coverage and deliver faster.","Conversational AI","Rajendra Dangwal","Software Engineering & UI/UX,Product Management & Business Analysis","Idea","Not Started","OpenAI, Microsoft GitHub","GitHub Copilot, ChatGPT","","7/14/2025 10:51 AM","Rajendra Dangwal","","","","199","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","AI-Based Validation of Employee Photo Uploads","Use AI to automatically validate uploaded images for proper employee headshot compliance.","The idea is to integrate an AI-based image classification and validation model into the Employee Photo Upload process in UKG Pro. The model would automatically analyze uploaded images to confirm they meet defined standards for employee headshots. This includes checks such as:

Is the file an image?

Does the image contain a human face?

Is the face clearly visible, unobstructed, and properly centered?

Is there only one face in the image?

Is the background and lighting appropriate (e.g., not a group photo, meme, or unrelated scenery)?

By using AI (such as a computer vision model via an image upload API), the system can flag improper submissions in real-time, reducing manual review, improving user experience, and ensuring consistency across the enterprise. It can also provide user feedback to help correct image issues before final submission.

This capability is especially beneficial during onboarding or mass photo collection events, and aligns well with compliance, professionalism, and system uniformity objectives.

see my demo video here:
https://ukginc-my.sharepoint.com/:v:/g/personal/karel_bertin_ukg_com/EQJJU7QMTItJrr_nDmiSvK8Bm6wt3Tx5XlxMWHwsC0u7kQ?e=aRGlNB&nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJTdHJlYW1XZWJBcHAiLCJyZWZlcnJhbFZpZXciOiJTaGFyZURpYWxvZy1MaW5rIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXcifX0%3D
","Currently, the Employee Photo Upload process lacks automated validation, resulting in frequent issues such as:

Uploads of incorrect file types (e.g., PDFs, screenshots, documents).

Photos that do not contain faces or contain multiple people.

Poor quality or unprofessional images (e.g., dark, blurry, or overly casual).

Users uploading logos, cartoons, or placeholder images instead of actual photos.

These errors require manual intervention by HR teams, leading to inconsistent photo standards, rework, and administrative delays — especially during large-scale onboarding or system-wide photo updates.

Customer feedback and internal audit findings have highlighted this as a recurring friction point, affecting both user experience and downstream systems that rely on accurate photos (e.g., badges, org charts, employee profiles).","Integrating AI-driven image validation offers clear business value to UKG and our customers:

Improved Data Quality: Ensures only valid, professional headshots are stored in the system, reducing cleanup efforts.

Operational Efficiency: Automates photo screening, significantly reducing HR workload and time spent on manual reviews.

Enhanced User Experience: Real-time feedback allows users to correct issues immediately, minimizing frustration and support tickets.

Scalability: Supports large onboarding cycles or bulk updates without degrading data standards.

Brand Consistency: Helps maintain a unified and professional appearance across internal tools, organizational directories, and customer-facing portals.

Market Differentiator: Positions UKG Pro as a smart, modern platform that leverages AI to solve real-world admin problems.

This AI enhancement aligns with UKG’s vision to create smarter, more efficient HR technology that empowers people and elevates the user experience.","Conversational AI","Karel Bertin","Customer Success & Services","Idea","Not Started","UKG","Bryte AI","","7/14/2025 10:06 AM","Karel Bertin","","","","198","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","AI-Based Validation of Employee Photo Uploads","Use AI to automatically validate uploaded images for proper employee headshot compliance.","The idea is to integrate an AI-based image classification and validation model into the Employee Photo Upload process in UKG Pro. The model would automatically analyze uploaded images to confirm they meet defined standards for employee headshots. This includes checks such as:

Is the file an image?

Does the image contain a human face?

Is the face clearly visible, unobstructed, and properly centered?

Is there only one face in the image?

Is the background and lighting appropriate (e.g., not a group photo, meme, or unrelated scenery)?

By using AI (such as a computer vision model via an image upload API), the system can flag improper submissions in real-time, reducing manual review, improving user experience, and ensuring consistency across the enterprise. It can also provide user feedback to help correct image issues before final submission.

This capability is especially beneficial during onboarding or mass photo collection events, and aligns well with compliance, professionalism, and system uniformity objectives.","Currently, the Employee Photo Upload process lacks automated validation, resulting in frequent issues such as:

Uploads of incorrect file types (e.g., PDFs, screenshots, documents).

Photos that do not contain faces or contain multiple people.

Poor quality or unprofessional images (e.g., dark, blurry, or overly casual).

Users uploading logos, cartoons, or placeholder images instead of actual photos.

These errors require manual intervention by HR teams, leading to inconsistent photo standards, rework, and administrative delays — especially during large-scale onboarding or system-wide photo updates.

Customer feedback and internal audit findings have highlighted this as a recurring friction point, affecting both user experience and downstream systems that rely on accurate photos (e.g., badges, org charts, employee profiles).","Integrating AI-driven image validation offers clear business value to UKG and our customers:

Improved Data Quality: Ensures only valid, professional headshots are stored in the system, reducing cleanup efforts.

Operational Efficiency: Automates photo screening, significantly reducing HR workload and time spent on manual reviews.

Enhanced User Experience: Real-time feedback allows users to correct issues immediately, minimizing frustration and support tickets.

Scalability: Supports large onboarding cycles or bulk updates without degrading data standards.

Brand Consistency: Helps maintain a unified and professional appearance across internal tools, organizational directories, and customer-facing portals.

Market Differentiator: Positions UKG Pro as a smart, modern platform that leverages AI to solve real-world admin problems.

This AI enhancement aligns with UKG’s vision to create smarter, more efficient HR technology that empowers people and elevates the user experience.","Conversational AI","Asha Gowdaiah","Customer Success & Services","Idea","Not Started","UKG","Bryte AI","","7/14/2025 10:03 AM","Karel Bertin","","","","197","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Pendo Feedback Classification","Pendo Feedback Classification involves categorizing product feedback to understand user needs and prioritize development efforts","Using AI to categorize the user feedback","There were no solution to classify/categorize user feedback collected in Pendo","Help product managers and ux/ui designer understand user needs and prioritize development efforts","Intelligent Document Processing","Simon Prudhomme","Product Management & Business Analysis,Software Engineering & UI/UX","Idea","Not Started","Google, OpenAI","Gemini","https://app.powerbi.com/links/95woAPZe2X?ctid=7b6f35d2-1f98-4e5e-82eb-e78f6ea5a1de&pbi_source=linkShare","7/14/2025 9:25 AM","Simon Prudhomme","","","","196","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Detect Mobile App bad state","Identify and Resolve bad state scenarios within the App","We have seen in the past how difficult it is to fix some bad state scenarios in the mobile app like blank white screen. Since our app is a hybrid one, there's always a case where the web view didn't load when the app transitions from background. This particular white screen issue is completely sporadic and despite adding many logs, we have seen it coming back time and again. 


I competed a P.O.C leveraging a native iOS model (ImageClassifier), and trained it with 2 sets of data -  NormalScreen and WhiteScreen. 


I imported that model into our app, and using iOS CoreML framework, I was able to successfully find the white screen cases. 
As you see in the confluence page link , there are 2 videos- 

https://engconf.int.kronos.com/spaces/UKGSE/pages/961498498/Spike+-+AI+-+Create+ML+-+ImageClassifier

In the first video, I deliberately set a white screen issue when the app transforms from the background to foreground, and the model was able to predict it and take the user back to the login screen. 

Second video shows how simple all these are to have it in our app. 

Since all these are native, latency should not be of concern, and it can work offline too. Being on device model protects privacy and guards from any other security concerns.
White screen issue is just one of the many bad state that our app can get into. 

We can train our model to detect following use case scenarios - 

    1) Continuous spinner UI display
    2) Home page loading issue 
    3) Menu items not showing as expected
    4) Shortcuts not being available on the dashboard



","Issues like blank white screen and persistent spinner display have been a constant problem, and we have recevied many production support tickets. 
This along with other concerns regarding Dashboard Shortcuts needs to be addressed ","We will be able to identify when the app gets into a bad state, and act on it accordingly. All issues will hook into our alert monitoring system and notify the dev team. We don't have to wait for a prod support call. 

Based on the issue, we can provide automated solutions. For instance, if the app gets into a blank white screen mode when it gets transitioned from background state, we can trigger a sign out call, and put the app back to the very first page. 
If the dashboard shortcuts are not available, we can convey the user with a friendly message.","Intelligent Document Processing","Gokul Narasimhan","Customer Success & Services,Software Engineering & UI/UX","Idea","Not Started","UKG","Gen AI Assistant","https://engconf.int.kronos.com/spaces/UKGSE/pages/961498498/Spike+-+AI+-+Create+ML+-+ImageClassifier","7/11/2025 8:33 PM","Gokul Narasimhan","","","","195","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","UKG PRO WFM Live Customers Process Build to Migrate to Unified Business Structure or Onestream","UKGPro WFM Customers Confusion Remedied and System Unification Optimized","Currently early adopters of the Pro WFM Suite (early adopters of both Pro Pay and People Center and Pro WFM) have a legacy transmission of data between systems.   Transitioning to a new business structure and integration requires a re implementation or Services Request.   Can AI make a bridge for customers to arrive at a more organzied solution without additional cost?  ","Multiple customers have expressed frustration with new features only being applicable to new customers.   Confusion arises when new features are not applivable to existing customers","Increased Customer Satisfaction and Retention.   A better user experience for UKG admins, HR teams, and end users as it applies to accessing the system.","Machine Teaching / AutoML","David Dewald","Software Engineering & UI/UX","Idea","Not Started","Google","Gen AI Assistant","","7/11/2025 5:29 PM","David Dewald","","CX","","194","10/28/2025 12:07 PM","David Dewald","False","False",""
"","AI curated Dynamic Feature Ownership Roster for Internal Teams","For internal usage only - a dynamically curated list of Feature or Tooling team contacts to make research/analysis/troubleshooting extremely time efficient.","As a member of CIRT - Customer Implementation and Readiness Team, it has been challenging to locate appropriate Engineering and Product teams who own certain features or infrastructure/tooling to be able to expand our Centralized Automated Test suite in a way that allows us to ensure any and all critical features/ integrations are validated for prompt functional behavior, performance and accessibility prior to releasing to customers.
With quickly changing teams and org structures, there is no dynamic way to locate Resources who work on a specific feature/ tooling.. if AI is able to build and maintain a roster of all key contacts for all the features/tooling offered/used across the full Suite, it would make finding necessary resources for research/analysis/troubleshooting extremely time efficient. It would likely be a very large roster to create and maintain, but could be very valuable for internal usage.

 ","It is challenging to locate appropriate Engineering/Product teams who own features or infrastructure/tooling.","Time saved for certain internal teams in locating appropriate resources for research/analysis/troubleshooting purposes.","Data Extraction","Nakul Shailendra","Software Engineering & UI/UX,Customer Success & Services,Help Desk Support and Incident Response,Business Operations, Delivery & Enablement,U Krewer,Product Management & Business Analysis,Project & Program Manager","Idea","Not Started","TBD","TBD","","7/11/2025 5:24 PM","Nakul Shailendra","","","","193","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","General Notes","Program recap - Centers will:","General Notes
Program recap - Centers will:
•	Pay $250 for 8 hours of volunteer work. Pay will be prorated according to the number of hours worked, if less than 8 hours.
•	Apply the program to weekend nonexempt volunteers.
•	Have team members off during the week to account for weekend work in this pilot. They will not be eligible for OT.
•	Have team member utilize PTO if they commit to working their weekend volunteer shift and are unable to complete it. 
•	Limit the pilot to 2 nonexempt team members / center
•	Schedule maximum of 2 team members / Sat and (those who have Sunday operations) 1 / Sun.
•	Facilitate work life balance and not schedule the same person for Sat / Sun consecutive volunteer days.
•	Consider budget, assign work hours prudently, and work up to 8 hours / day / person, as necessitated by volume.
","translation help","Complete translation piece","Conversational AI","Marie Doricent Paul","Customer Success & Services","Idea","Not Started","UKG","Gen AI Assistant","","7/11/2025 5:07 PM","Marie Doricent Paul","","","","192","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Create and install AI Chat bot on team sharepoint page","Generate AI responses for quicker access and action to team/client questions","Reducing time to touch and research, adding an AI Bot on our team SOP's page could yield speedier resolution times to several processes.  This is more important than ever as we continue to build our SOP library and onboard new team members.  The solution lends itself to the highly nuanced solutions UMS tax must use to resolve client concerns.  This could be a first step toward driving speedy solutions, the second being to integrate client inquiries directly from Salesforce into a relevant bot that could deliver solutions to our analysts to vet prior to delivering the solution.","Current research times can be long and often the approach from each analyst is inconsistent both in time requirement and quality.  For example, one analyst may use an approach that takes an hour where another analyst is able to resolve in several minutes.  The differentiator here is experience.  Delivering a consistent tool can resolve this quickly.","Reduced research time, increased consistency and accuracy of response/resolution, decreased time to case closure are all expected value adds.","Intelligent Document Processing","Jacob Sahourieh","Business Operations, Delivery & Enablement","Idea","Not Started","Microsoft, Salesforce","Microsoft 365 Copilot","","7/11/2025 3:56 PM","Jacob Sahourieh","","","","191","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","AI - Can you balance the schedule and return a report of employees who are out of compliance for me to review?","Balancing Staff Schedules in Healthcare using AI","Managers spend alot of time balancing schedules after self-scheduling to validate that requirements are met (i.e. staff picked up the correct total hours, the right number of weekend shifts, the right skill).  Ask AI to balance the schedule.","Auditing is a large task in Healthcare to align with union requirements and department guidelines. All customers are asking for a way to audit easier. If AI knows the rules, AI should be able to provide a report for the user to review and eliminate the data mining from needing to occur.","Satisfied customers. Differentiating technology. ","Data Extraction","Courtney Gantt","Customer Success & Services","Idea","Not Started","UKG","Bryte AI","","7/11/2025 3:33 PM","Courtney Gantt","","","","190","12/5/2025 12:44 PM","Courtney Gantt","False","False","Owner"
"","Data Anyalisys and Escalation Assistant","Customer Escalation Assistant","I use ChatGPT to help me analyze data from customers' case and Service Request (SR) histories, allowing me to summarize common issue themes. This analysis helps me prepare more effectively for customer calls and identify ways to provide better support.

What started as a reactionary tool for handling escalations has shown great potential as a proactive strategy. I believe this approach could be highly valuable for Customer Success Managers and Customer Account Managers. By gaining a clear view of the types of issues their customers are submitting to support, they can anticipate needs and take preventive action.

For example, recurring themes in support cases could highlight areas where customers may benefit from targeted training or access to specific documentation. Leveraging this insight proactively would not only improve the customer experience but also reduce the volume of support cases over time.

I have recorded a short 3-minute video walking through this process that I can share as a visual sample for peers or anyone interested.  https://ukginc-my.sharepoint.com/:v:/g/personal/carlos_laya_ukg_com/EaxuPVzHB8JAuLhCM_OIlcgBHPECgLMHMQHV5yNdaax7uA","To help CX UKrewers address customer issues","Address customer issues during escalations and even in a proactive manner,  leveraging Ai tools saves us a lot of time in gathering and analysing the customer's data to come up with trending issues or pain points from the customer based on their support cases.","Intelligent Document Processing","Carlos Laya Castillo","Customer Success & Services,Business Operations, Delivery & Enablement,Privacy, Regulatory & Compliance,Data and Analytics,Product Management & Business Analysis,Project & Program Manager,Software Engineering & UI/UX,U Krewer,People Leaders","Idea","Not Started","UKG","Gen AI Assistant","https://ukginc-my.sharepoint.com/:v:/g/personal/carlos_laya_ukg_com/EaxuPVzHB8JAuLhCM_OIlcgBHPECgLMHMQHV5yNdaax7uA","7/11/2025 3:31 PM","Carlos Laya Castillo","","","","189","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Post-Email Competitive Brief Automated Workflow ","Automated Workflow to Streamline Competitive Briefs Following CI Leader Outreach","Each week, the Competitive & Market Intelligence (CMI) team curates and distributes competitive briefs to senior leaders, highlighting key market trends and competitor movements with UKG-relevant points of view. These briefs serve as a one-stop shop for external insights. Following distribution, the briefs are manually uploaded as PDFs to our SharePoint, tagged with metadata, and cataloged in an Excel tracker for reference.cataloging in our excel file where we track. Explained below is our step by step outline of the workflow:

For each weekly Brief: 

CMI Analysts to add topics to draft throughout week and complete draft content ideally by Tuesday afternoon.  

Amy conducts first-level editorial review ahead of group read-out. 

All authors meet for final review with Terry on Wednesday morning.  
 

Once complete, on Wednesday/Thursday:  

Terry distributes via email to distribution list. See list: ALL CI DISTRO.xlsx 

Prepare Brief for upload: remove any comments and double check formatting/spelling, confirm all headlines are captured.  

Download Brief as a PDF and rename using naming convention “Competitive Brief YYYY-MM-DD"" 

Upload PDF into “Final Copies” folder in CI Drive; also move original Word document draft into this folder 

Upload to CI SharePoint under “All Competitive Content”, tagging relevant fields (Competitors, Source = News/Earnings, Category = UKG Produced Content, Date, Content Type = UKG CI Content). 

Amy captures all relevant info in CMI Brief Catalog 

Amy initiates new draft of weekly brief using template. Save new copy of template to folder using naming convention: “YYYY-MM-DD Competitive Brief.” Tell Analysts in CMI Team chat that draft document is available. 

CMI Analysts post any relevant information in CMI Support Channels (by segment). 

","Lack of efficency due to manual processes and need more scalability as volume of intelligence grows and more and more people look forward to our briefs. ","Stronger Executive Alignment, Increased efficiency, improved responses, scalability and consistency","Machine Teaching / AutoML","Vicky Kang","Customer Success & Services,People Leaders,Sales / Marketing Agents","Idea","Not Started","Microsoft","Microsoft 365 Copilot, Power Automate (AI Builder)","","7/11/2025 1:37 PM","Vicky Kang","FY26Q4","","","188","10/16/2025 2:46 PM","Don Alexander","False","False",""
"","Adaptive Interview Question Generator for Talent Screening","Boost hiring efficiency with an AI assistant that crafts role- and resume-specific screening questions.","Certainly! Here's a **7–8 line description** that clearly outlines the idea, the role of AI, and the business value:

---

This AI-powered tool revolutionizes the early stages of recruitment by automatically generating tailored screening questions for each job opportunity. Leveraging natural language processing (NLP) and large language models (LLMs), the system analyzes job descriptions and candidate resumes to craft contextually relevant and role-specific questions. It ensures that each candidate is evaluated based on the most pertinent criteria, aligned with both the job’s requirements and their unique experience.

AI dynamically adapts questions in real time, accounting for resume nuances such as skills, achievements, and career progression. This not only saves recruiters time but also standardizes and elevates the screening process, reducing bias and improving candidate engagement. The solution can be integrated with applicant tracking systems (ATS) or used as a standalone module in digital hiring workflows. Ultimately, it enhances efficiency, ensures better fit assessment, and supports smarter hiring decisions.
","Great question. Here's a clear explanation of **why this AI-powered screening tool is needed**, focusing on business pain points and value:

---

### ❓ **Why It’s Needed**

1. Manual Screening Is Time-Consuming and Inconsistent
   Recruiters often spend hours crafting screening questions and manually reviewing resumes—an inefficient, repetitive process prone to oversight and inconsistency.

2. Generic Questions Miss Candidate Nuances
   Static, one-size-fits-all screening questions don’t reflect the specific requirements of a role or the unique experience of a candidate, leading to missed opportunities or poor hiring matches.

3. Increasing Volume of Applications
   With a surge in job applications driven by digital platforms, it's difficult to maintain quality and speed in initial candidate assessments without automation.

4. Bias and Subjectivity in Early Filtering
   Human-generated questions can inadvertently introduce bias. AI can help create more consistent and equitable evaluation criteria.

5. Need for Personalization at Scale
   Personalizing the interview process improves candidate experience and employer branding—AI enables this personalization at scale without increasing recruiter workload.

6. Improved Hiring Outcomes
   By aligning questions directly with job descriptions and resumes, the tool helps identify top-fit candidates faster, improving time-to-hire and quality-of-hire metrics.

","💼 Business Value to UKG: Driving ROI Through AI-First Talent Screening
This use case directly supports UKG’s AI-First initiative by applying intelligent automation to one of the most time-consuming and high-impact areas in the talent lifecycle: candidate screening. By leveraging generative AI and NLP, we can transform how recruiters engage with applicants—improving speed, fairness, and quality at scale.

✅ Key Benefits
📉 Significant Reduction in Manual Screening Time
By automating the generation of role- and resume-specific screening questions, recruiters can save hours per requisition—freeing up capacity for strategic hiring activities.

📈 Improved Quality of Hire
Personalized questions increase the accuracy of early-stage evaluations, reducing false positives and mismatches—translating to fewer bad hires and lower attrition rates, which carry a high downstream cost.

💡 Enhanced Candidate Experience at Scale
AI-generated, context-aware questions create a more relevant and respectful interview journey—helping UKG stand out as a tech-forward, candidate-centric employer.

⚖️ Built-In Fairness and Reduced Bias
Standardized AI-powered assessments help minimize bias in screening—supporting UKG's commitments and enabling more equitable access to opportunities.

📊 ROI-Driven Decision Intelligence
Data from AI-generated screenings feeds into analytics pipelines for continuous improvement—improving recruiter training, refining job requirements, and optimizing talent strategy.

🏆 Strategic Differentiator in the HCM Space
As a leader in workforce technology, UKG can pilot this internally and explore offering it externally through our product suite—turning operational AI into customer-facing innovation.

💰 Return on Investment (ROI)
By integrating this AI capability:

Estimated 100–200 recruiter hours saved per 1,000 candidates

Faster time-to-hire = reduced vacancy costs and faster revenue contribution

Better hiring outcomes = lower onboarding costs, higher employee performance

Reduced reliance on external agencies or tools = direct cost savings","Predictive Modeling / Recommender","Kia Memarzadeh","Business Operations, Delivery & Enablement","Idea","Not Started","BrightHire, Eightfold, Google, Microsoft, OpenAI, UKG, TBD","Gen AI Assistant","","7/11/2025 1:00 PM","Kia Memarzadeh","","","","187","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
